Community,Crime,Frequency,Period
C27,SEX OFFENSE,4,Night
C27,THEFT,158,Night
C27,WEAPONS VIOLATION,31,Night
C28,ARSON,1,Night
C28,ASSAULT,111,Night
C28,BATTERY,431,Night
C28,BURGLARY,100,Night
C28,CONCEALED CARRY LICENSE VIOLATION,2,Night
C28,CRIM SEXUAL ASSAULT,47,Night
C28,CRIMINAL DAMAGE,304,Night
C28,CRIMINAL TRESPASS,67,Night
C28,DECEPTIVE PRACTICE,123,Night
C28,GAMBLING,1,Night
C28,HOMICIDE,8,Night
C28,INTERFERENCE WITH PUBLIC OFFICER,3,Night
C28,INTIMIDATION,4,Night
C28,MOTOR VEHICLE THEFT,117,Night
C28,NARCOTICS,29,Night
C28,NON-CRIMINAL,1,Night
C28,OFFENSE INVOLVING CHILDREN,7,Night
C28,OTHER OFFENSE,70,Night
C28,PUBLIC PEACE VIOLATION,7,Night
C28,ROBBERY,218,Night
C28,SEX OFFENSE,9,Night
C28,STALKING,2,Night
C28,THEFT,655,Night
C28,WEAPONS VIOLATION,17,Night
C29,ARSON,9,Night
C29,ASSAULT,158,Night
C29,BATTERY,705,Night
C29,BURGLARY,66,Night
C29,CRIM SEXUAL ASSAULT,29,Night
C29,CRIMINAL DAMAGE,297,Night
C29,CRIMINAL TRESPASS,66,Night
C29,DECEPTIVE PRACTICE,46,Night
C29,GAMBLING,3,Night
C29,HOMICIDE,8,Night
C29,INTERFERENCE WITH PUBLIC OFFICER,16,Night
C29,KIDNAPPING,1,Night
C29,MOTOR VEHICLE THEFT,113,Night
C29,NARCOTICS,210,Night
C29,OFFENSE INVOLVING CHILDREN,27,Night
C29,OTHER OFFENSE,111,Night
C29,PROSTITUTION,7,Night
C29,PUBLIC PEACE VIOLATION,19,Night
C29,ROBBERY,131,Night
C29,SEX OFFENSE,10,Night
C29,THEFT,209,Night
C29,WEAPONS VIOLATION,136,Night
C3,ARSON,1,Night
C3,ASSAULT,51,Night
C3,BATTERY,201,Night
C3,BURGLARY,53,Night
C3,CRIM SEXUAL ASSAULT,22,Night
C3,CRIMINAL DAMAGE,112,Night
C3,CRIMINAL TRESPASS,22,Night
C3,DECEPTIVE PRACTICE,52,Night
C3,HOMICIDE,2,Night
C3,INTERFERENCE WITH PUBLIC OFFICER,6,Night
C3,INTIMIDATION,1,Night
C3,LIQUOR LAW VIOLATION,2,Night
C3,MOTOR VEHICLE THEFT,29,Night
C3,NARCOTICS,19,Night
C3,OFFENSE INVOLVING CHILDREN,5,Night
C3,OTHER OFFENSE,47,Night
C3,PROSTITUTION,1,Night
C3,PUBLIC PEACE VIOLATION,9,Night
C3,ROBBERY,46,Night
C3,SEX OFFENSE,6,Night
C3,THEFT,208,Night
C3,WEAPONS VIOLATION,10,Night
C30,ARSON,5,Night
C30,ASSAULT,89,Night
C30,BATTERY,356,Night
C30,BURGLARY,60,Night
C30,CRIM SEXUAL ASSAULT,17,Night
C30,CRIMINAL DAMAGE,224,Night
C30,CRIMINAL TRESPASS,18,Night
C30,DECEPTIVE PRACTICE,17,Night
C30,GAMBLING,1,Night
C30,HOMICIDE,3,Night
C30,INTERFERENCE WITH PUBLIC OFFICER,5,Night
C30,INTIMIDATION,3,Night
C30,LIQUOR LAW VIOLATION,4,Night
C30,MOTOR VEHICLE THEFT,85,Night
C30,NARCOTICS,59,Night
C30,NON-CRIMINAL,1,Night
C30,OFFENSE INVOLVING CHILDREN,18,Night
C30,OTHER OFFENSE,82,Night
C30,PROSTITUTION,1,Night
C30,PUBLIC PEACE VIOLATION,21,Night
C30,ROBBERY,67,Night
C30,SEX OFFENSE,9,Night
C30,STALKING,1,Night
C30,THEFT,183,Night
C30,WEAPONS VIOLATION,70,Night
C31,ARSON,5,Night
C31,ASSAULT,51,Night
C31,BATTERY,197,Night
C31,BURGLARY,60,Night
C31,CRIM SEXUAL ASSAULT,14,Night
C31,CRIMINAL DAMAGE,167,Night
C31,CRIMINAL TRESPASS,22,Night
C31,DECEPTIVE PRACTICE,21,Night
C31,HOMICIDE,3,Night
C31,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C31,LIQUOR LAW VIOLATION,1,Night
C31,MOTOR VEHICLE THEFT,44,Night
C31,NARCOTICS,17,Night
C31,OFFENSE INVOLVING CHILDREN,4,Night
C31,OTHER OFFENSE,39,Night
C31,PUBLIC PEACE VIOLATION,1,Night
C31,ROBBERY,43,Night
C31,SEX OFFENSE,5,Night
C31,THEFT,94,Night
C31,WEAPONS VIOLATION,19,Night
C32,ASSAULT,92,Night
C32,BATTERY,251,Night
C32,BURGLARY,44,Night
C32,CRIM SEXUAL ASSAULT,22,Night
C32,CRIMINAL DAMAGE,125,Night
C32,CRIMINAL TRESPASS,37,Night
C32,DECEPTIVE PRACTICE,162,Night
C32,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C32,INTIMIDATION,1,Night
C32,KIDNAPPING,1,Night
C32,LIQUOR LAW VIOLATION,1,Night
C32,MOTOR VEHICLE THEFT,34,Night
C32,NARCOTICS,20,Night
C32,OFFENSE INVOLVING CHILDREN,4,Night
C32,OTHER NARCOTIC VIOLATION,2,Night
C32,OTHER OFFENSE,39,Night
C32,PROSTITUTION,7,Night
C32,PUBLIC PEACE VIOLATION,8,Night
C32,ROBBERY,168,Night
C32,SEX OFFENSE,7,Night
C32,STALKING,2,Night
C32,THEFT,573,Night
C32,WEAPONS VIOLATION,5,Night
C33,ARSON,1,Night
C33,ASSAULT,14,Night
C33,BATTERY,103,Night
C33,BURGLARY,15,Night
C33,CRIM SEXUAL ASSAULT,5,Night
C33,CRIMINAL DAMAGE,48,Night
C33,CRIMINAL TRESPASS,25,Night
C33,DECEPTIVE PRACTICE,47,Night
C33,INTERFERENCE WITH PUBLIC OFFICER,2,Night
C33,MOTOR VEHICLE THEFT,22,Night
C33,NARCOTICS,4,Night
C33,OBSCENITY,1,Night
C33,OFFENSE INVOLVING CHILDREN,4,Night
C33,OTHER OFFENSE,24,Night
C33,PROSTITUTION,4,Night
C33,PUBLIC PEACE VIOLATION,2,Night
C33,ROBBERY,33,Night
C33,SEX OFFENSE,9,Night
C33,THEFT,113,Night
C33,WEAPONS VIOLATION,5,Night
C34,ASSAULT,14,Night
C34,BATTERY,70,Night
C34,BURGLARY,23,Night
C34,CRIM SEXUAL ASSAULT,2,Night
C34,CRIMINAL DAMAGE,37,Night
C34,CRIMINAL TRESPASS,13,Night
C34,DECEPTIVE PRACTICE,9,Night
C34,INTERFERENCE WITH PUBLIC OFFICER,2,Night
C34,LIQUOR LAW VIOLATION,1,Night
C34,MOTOR VEHICLE THEFT,10,Night
C34,NARCOTICS,4,Night
C34,OFFENSE INVOLVING CHILDREN,1,Night
C34,OTHER OFFENSE,13,Night
C34,ROBBERY,46,Night
C34,SEX OFFENSE,2,Night
C34,THEFT,61,Night
C34,WEAPONS VIOLATION,11,Night
C35,ASSAULT,39,Night
C35,BATTERY,160,Night
C35,BURGLARY,19,Night
C35,CRIM SEXUAL ASSAULT,9,Night
C35,CRIMINAL DAMAGE,83,Night
C35,CRIMINAL TRESPASS,28,Night
C35,DECEPTIVE PRACTICE,27,Night
C35,HOMICIDE,2,Night
C35,MOTOR VEHICLE THEFT,27,Night
C35,NARCOTICS,6,Night
C35,OFFENSE INVOLVING CHILDREN,5,Night
C35,OTHER OFFENSE,27,Night
C35,PUBLIC PEACE VIOLATION,3,Night
C35,ROBBERY,45,Night
C35,SEX OFFENSE,1,Night
C35,STALKING,1,Night
C35,THEFT,113,Night
C35,WEAPONS VIOLATION,6,Night
C36,ARSON,1,Night
C36,ASSAULT,13,Night
C36,BATTERY,43,Night
C36,BURGLARY,7,Night
C36,CRIM SEXUAL ASSAULT,1,Night
C36,CRIMINAL DAMAGE,43,Night
C36,CRIMINAL TRESPASS,7,Night
C36,DECEPTIVE PRACTICE,8,Night
C36,MOTOR VEHICLE THEFT,11,Night
C36,OBSCENITY,1,Night
C36,OTHER OFFENSE,16,Night
C36,PUBLIC PEACE VIOLATION,1,Night
C36,ROBBERY,11,Night
C36,SEX OFFENSE,3,Night
C36,THEFT,38,Night
C36,WEAPONS VIOLATION,1,Night
C37,ASSAULT,11,Night
C37,BATTERY,55,Night
C37,BURGLARY,4,Night
C37,CRIM SEXUAL ASSAULT,2,Night
C37,CRIMINAL DAMAGE,32,Night
C37,CRIMINAL TRESPASS,6,Night
C37,DECEPTIVE PRACTICE,11,Night
C37,HOMICIDE,1,Night
C37,INTERFERENCE WITH PUBLIC OFFICER,5,Night
C37,MOTOR VEHICLE THEFT,20,Night
C37,NARCOTICS,6,Night
C37,OFFENSE INVOLVING CHILDREN,1,Night
C37,OTHER OFFENSE,16,Night
C37,ROBBERY,28,Night
C37,SEX OFFENSE,1,Night
C37,THEFT,35,Night
C37,WEAPONS VIOLATION,7,Night
C38,ASSAULT,56,Night
C38,BATTERY,246,Night
C38,BURGLARY,37,Night
C38,CRIM SEXUAL ASSAULT,3,Night
C38,CRIMINAL DAMAGE,116,Night
C38,CRIMINAL TRESPASS,14,Night
C38,DECEPTIVE PRACTICE,30,Night
C38,GAMBLING,1,Night
C38,HOMICIDE,4,Night
C38,INTERFERENCE WITH PUBLIC OFFICER,3,Night
C38,INTIMIDATION,2,Night
C38,LIQUOR LAW VIOLATION,5,Night
C38,MOTOR VEHICLE THEFT,58,Night
C38,NARCOTICS,11,Night
C38,OBSCENITY,2,Night
C38,OFFENSE INVOLVING CHILDREN,5,Night
C38,OTHER OFFENSE,63,Night
C38,PROSTITUTION,16,Night
C38,PUBLIC PEACE VIOLATION,4,Night
C38,ROBBERY,64,Night
C38,SEX OFFENSE,2,Night
C38,STALKING,2,Night
C38,THEFT,159,Night
C38,WEAPONS VIOLATION,15,Night
C39,ASSAULT,33,Night
C39,BATTERY,85,Night
C39,BURGLARY,10,Night
C39,CRIM SEXUAL ASSAULT,7,Night
C39,CRIMINAL DAMAGE,57,Night
C39,CRIMINAL TRESPASS,10,Night
C39,DECEPTIVE PRACTICE,26,Night
C39,HOMICIDE,2,Night
C39,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C39,KIDNAPPING,1,Night
C39,MOTOR VEHICLE THEFT,22,Night
C39,NARCOTICS,1,Night
C39,OBSCENITY,2,Night
C39,OFFENSE INVOLVING CHILDREN,2,Night
C39,OTHER OFFENSE,22,Night
C39,ROBBERY,35,Night
C39,SEX OFFENSE,3,Night
C39,STALKING,1,Night
C39,THEFT,85,Night
C39,WEAPONS VIOLATION,4,Night
C4,ARSON,2,Night
C4,ASSAULT,33,Night
C4,BATTERY,89,Night
C4,BURGLARY,30,Night
C4,CRIM SEXUAL ASSAULT,14,Night
C4,CRIMINAL DAMAGE,88,Night
C4,CRIMINAL TRESPASS,22,Night
C4,DECEPTIVE PRACTICE,38,Night
C4,INTERFERENCE WITH PUBLIC OFFICER,2,Night
C4,MOTOR VEHICLE THEFT,23,Night
C4,NARCOTICS,10,Night
C4,OFFENSE INVOLVING CHILDREN,1,Night
C4,OTHER OFFENSE,28,Night
C4,PUBLIC PEACE VIOLATION,1,Night
C4,ROBBERY,32,Night
C4,SEX OFFENSE,3,Night
C4,STALKING,1,Night
C4,THEFT,127,Night
C4,WEAPONS VIOLATION,4,Night
C40,ARSON,4,Night
C40,ASSAULT,48,Night
C40,BATTERY,268,Night
C40,BURGLARY,27,Night
C40,CRIM SEXUAL ASSAULT,10,Night
C40,CRIMINAL DAMAGE,108,Night
C40,CRIMINAL TRESPASS,13,Night
C40,DECEPTIVE PRACTICE,20,Night
C40,HOMICIDE,3,Night
C40,INTERFERENCE WITH PUBLIC OFFICER,7,Night
C40,MOTOR VEHICLE THEFT,33,Night
C40,NARCOTICS,9,Night
C40,OBSCENITY,2,Night
C40,OFFENSE INVOLVING CHILDREN,9,Night
C40,OTHER OFFENSE,40,Night
C40,PROSTITUTION,2,Night
C40,PUBLIC PEACE VIOLATION,9,Night
C40,ROBBERY,52,Night
C40,THEFT,102,Night
C40,WEAPONS VIOLATION,17,Night
C41,ASSAULT,16,Night
C41,BATTERY,75,Night
C41,BURGLARY,27,Night
C41,CRIM SEXUAL ASSAULT,9,Night
C41,CRIMINAL DAMAGE,38,Night
C41,CRIMINAL TRESPASS,5,Night
C41,DECEPTIVE PRACTICE,28,Night
C41,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C41,INTIMIDATION,1,Night
C41,MOTOR VEHICLE THEFT,21,Night
C41,NARCOTICS,3,Night
C41,OFFENSE INVOLVING CHILDREN,3,Night
C41,OTHER OFFENSE,27,Night
C41,PUBLIC PEACE VIOLATION,2,Night
C41,ROBBERY,48,Night
C41,SEX OFFENSE,3,Night
C41,THEFT,108,Night
C41,WEAPONS VIOLATION,3,Night
C42,ARSON,2,Night
C42,ASSAULT,75,Night
C42,BATTERY,286,Night
C42,BURGLARY,77,Night
C42,CRIM SEXUAL ASSAULT,6,Night
C42,CRIMINAL DAMAGE,219,Night
C42,CRIMINAL TRESPASS,34,Night
C42,DECEPTIVE PRACTICE,31,Night
C42,HOMICIDE,6,Night
C42,INTERFERENCE WITH PUBLIC OFFICER,14,Night
C42,MOTOR VEHICLE THEFT,54,Night
C42,NARCOTICS,21,Night
C42,OFFENSE INVOLVING CHILDREN,8,Night
C42,OTHER OFFENSE,80,Night
C42,PUBLIC PEACE VIOLATION,5,Night
C42,ROBBERY,66,Night
C42,SEX OFFENSE,2,Night
C42,STALKING,1,Night
C42,THEFT,143,Night
C42,WEAPONS VIOLATION,26,Night
C43,ARSON,6,Night
C43,ASSAULT,188,Night
C43,BATTERY,836,Night
C43,BURGLARY,126,Night
C43,CRIM SEXUAL ASSAULT,29,Night
C43,CRIMINAL DAMAGE,366,Night
C43,CRIMINAL TRESPASS,65,Night
C43,DECEPTIVE PRACTICE,67,Night
C43,GAMBLING,1,Night
C43,HOMICIDE,9,Night
C43,INTERFERENCE WITH PUBLIC OFFICER,12,Night
C43,KIDNAPPING,1,Night
C43,MOTOR VEHICLE THEFT,138,Night
C43,NARCOTICS,51,Night
C43,OFFENSE INVOLVING CHILDREN,29,Night
C43,OTHER OFFENSE,162,Night
C43,PROSTITUTION,4,Night
C43,PUBLIC PEACE VIOLATION,10,Night
C43,ROBBERY,171,Night
C43,SEX OFFENSE,10,Night
C43,STALKING,2,Night
C43,THEFT,310,Night
C43,WEAPONS VIOLATION,54,Night
C44,ARSON,4,Night
C44,ASSAULT,141,Night
C44,BATTERY,447,Night
C44,BURGLARY,90,Night
C44,CRIM SEXUAL ASSAULT,21,Night
C44,CRIMINAL DAMAGE,254,Night
C44,CRIMINAL TRESPASS,52,Night
C44,DECEPTIVE PRACTICE,62,Night
C44,HOMICIDE,6,Night
C44,INTERFERENCE WITH PUBLIC OFFICER,8,Night
C44,KIDNAPPING,1,Night
C44,MOTOR VEHICLE THEFT,81,Night
C44,NARCOTICS,34,Night
C44,OFFENSE INVOLVING CHILDREN,18,Night
C44,OTHER OFFENSE,102,Night
C44,PUBLIC PEACE VIOLATION,5,Night
C44,ROBBERY,117,Night
C44,SEX OFFENSE,5,Night
C44,STALKING,3,Night
C44,THEFT,319,Night
C44,WEAPONS VIOLATION,41,Night
C45,ARSON,3,Night
C45,ASSAULT,17,Night
C45,BATTERY,79,Night
C45,BURGLARY,23,Night
C45,CRIM SEXUAL ASSAULT,4,Night
C45,CRIMINAL DAMAGE,47,Night
C45,CRIMINAL TRESPASS,9,Night
C45,DECEPTIVE PRACTICE,14,Night
C45,HOMICIDE,1,Night
C45,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C45,KIDNAPPING,1,Night
C45,MOTOR VEHICLE THEFT,25,Night
C45,NARCOTICS,4,Night
C45,OFFENSE INVOLVING CHILDREN,2,Night
C45,OTHER OFFENSE,22,Night
C45,PUBLIC PEACE VIOLATION,1,Night
C45,ROBBERY,17,Night
C45,SEX OFFENSE,4,Night
C45,THEFT,52,Night
C45,WEAPONS VIOLATION,15,Night
C46,ARSON,7,Night
C46,ASSAULT,102,Night
C46,BATTERY,416,Night
C46,BURGLARY,55,Night
C46,CONCEALED CARRY LICENSE VIOLATION,1,Night
C46,CRIM SEXUAL ASSAULT,13,Night
C46,CRIMINAL DAMAGE,220,Night
C46,CRIMINAL TRESPASS,27,Night
C46,DECEPTIVE PRACTICE,34,Night
C46,GAMBLING,1,Night
C46,HOMICIDE,8,Night
C46,INTERFERENCE WITH PUBLIC OFFICER,7,Night
C46,MOTOR VEHICLE THEFT,65,Night
C46,NARCOTICS,31,Night
C46,OFFENSE INVOLVING CHILDREN,15,Night
C46,OTHER OFFENSE,107,Night
C46,PROSTITUTION,1,Night
C46,PUBLIC PEACE VIOLATION,12,Night
C46,ROBBERY,58,Night
C46,SEX OFFENSE,5,Night
C46,STALKING,1,Night
C46,THEFT,164,Night
C46,WEAPONS VIOLATION,33,Night
C47,ARSON,1,Night
C47,ASSAULT,8,Night
C47,BATTERY,31,Night
C47,BURGLARY,5,Night
C47,CRIM SEXUAL ASSAULT,3,Night
C47,CRIMINAL DAMAGE,11,Night
C47,CRIMINAL TRESPASS,1,Night
C47,DECEPTIVE PRACTICE,2,Night
C47,GAMBLING,1,Night
C47,MOTOR VEHICLE THEFT,2,Night
C47,NARCOTICS,4,Night
C47,OFFENSE INVOLVING CHILDREN,2,Night
C47,OTHER OFFENSE,13,Night
C47,ROBBERY,4,Night
C47,THEFT,15,Night
C47,WEAPONS VIOLATION,10,Night
C48,ARSON,2,Night
C48,ASSAULT,25,Night
C48,BATTERY,83,Night
C48,BURGLARY,22,Night
C48,CRIM SEXUAL ASSAULT,4,Night
C48,CRIMINAL DAMAGE,76,Night
C48,CRIMINAL TRESPASS,20,Night
C48,DECEPTIVE PRACTICE,16,Night
C48,HOMICIDE,2,Night
C48,INTERFERENCE WITH PUBLIC OFFICER,2,Night
C48,MOTOR VEHICLE THEFT,35,Night
C48,NARCOTICS,4,Night
C48,OTHER OFFENSE,30,Night
C48,PUBLIC PEACE VIOLATION,1,Night
C48,ROBBERY,27,Night
C48,SEX OFFENSE,2,Night
C48,THEFT,82,Night
C48,WEAPONS VIOLATION,10,Night
C49,ARSON,17,Night
C49,ASSAULT,150,Night
C49,BATTERY,493,Night
C49,BURGLARY,100,Night
C49,CONCEALED CARRY LICENSE VIOLATION,1,Night
C49,CRIM SEXUAL ASSAULT,22,Night
C49,CRIMINAL DAMAGE,345,Night
C49,CRIMINAL TRESPASS,34,Night
C49,DECEPTIVE PRACTICE,53,Night
C49,GAMBLING,1,Night
C49,HOMICIDE,18,Night
C49,INTERFERENCE WITH PUBLIC OFFICER,15,Night
C49,INTIMIDATION,1,Night
C49,LIQUOR LAW VIOLATION,1,Night
C49,MOTOR VEHICLE THEFT,91,Night
C49,NARCOTICS,33,Night
C49,OBSCENITY,2,Night
C49,OFFENSE INVOLVING CHILDREN,27,Night
C49,OTHER OFFENSE,116,Night
C49,PROSTITUTION,5,Night
C49,PUBLIC PEACE VIOLATION,11,Night
C49,ROBBERY,135,Night
C49,SEX OFFENSE,7,Night
C49,STALKING,1,Night
C49,THEFT,254,Night
C49,WEAPONS VIOLATION,70,Night
C5,ASSAULT,14,Night
C5,BATTERY,43,Night
C5,BURGLARY,38,Night
C5,CRIM SEXUAL ASSAULT,10,Night
C5,CRIMINAL DAMAGE,31,Night
C5,CRIMINAL TRESPASS,16,Night
C5,DECEPTIVE PRACTICE,23,Night
C5,LIQUOR LAW VIOLATION,1,Night
C5,MOTOR VEHICLE THEFT,15,Night
C5,NARCOTICS,7,Night
C5,OFFENSE INVOLVING CHILDREN,2,Night
C5,OTHER OFFENSE,10,Night
C5,PUBLIC PEACE VIOLATION,3,Night
C5,ROBBERY,26,Night
C5,THEFT,124,Night
C5,WEAPONS VIOLATION,4,Night
C50,ASSAULT,22,Night
C50,BATTERY,38,Night
C50,BURGLARY,10,Night
C50,CRIM SEXUAL ASSAULT,1,Night
C50,CRIMINAL DAMAGE,32,Night
C50,CRIMINAL TRESPASS,8,Night
C50,DECEPTIVE PRACTICE,7,Night
C50,INTERFERENCE WITH PUBLIC OFFICER,2,Night
C50,MOTOR VEHICLE THEFT,25,Night
C50,NARCOTICS,10,Night
C50,OFFENSE INVOLVING CHILDREN,3,Night
C50,OTHER OFFENSE,17,Night
C50,PUBLIC PEACE VIOLATION,4,Night
C50,ROBBERY,11,Night
C50,SEX OFFENSE,1,Night
C50,THEFT,40,Night
C50,WEAPONS VIOLATION,11,Night
C51,ARSON,2,Night
C51,ASSAULT,37,Night
C51,BATTERY,140,Night
C51,BURGLARY,13,Night
C51,CRIM SEXUAL ASSAULT,1,Night
C51,CRIMINAL DAMAGE,67,Night
C51,CRIMINAL TRESPASS,12,Night
C51,DECEPTIVE PRACTICE,19,Night
C51,HOMICIDE,3,Night
C51,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C51,INTIMIDATION,1,Night
C51,KIDNAPPING,1,Night
C51,MOTOR VEHICLE THEFT,29,Night
C51,NARCOTICS,18,Night
C51,OFFENSE INVOLVING CHILDREN,5,Night
C51,OTHER OFFENSE,31,Night
C51,PUBLIC PEACE VIOLATION,1,Night
C51,ROBBERY,16,Night
C51,SEX OFFENSE,1,Night
C51,THEFT,64,Night
C51,WEAPONS VIOLATION,23,Night
C52,ARSON,5,Night
C52,ASSAULT,29,Night
C52,BATTERY,98,Night
C52,BURGLARY,13,Night
C52,CRIM SEXUAL ASSAULT,4,Night
C52,CRIMINAL DAMAGE,106,Night
C52,CRIMINAL TRESPASS,15,Night
C52,DECEPTIVE PRACTICE,12,Night
C52,HOMICIDE,5,Night
C52,INTERFERENCE WITH PUBLIC OFFICER,5,Night
C52,MOTOR VEHICLE THEFT,17,Night
C52,NARCOTICS,11,Night
C52,OFFENSE INVOLVING CHILDREN,7,Night
C52,OTHER OFFENSE,21,Night
C52,PUBLIC PEACE VIOLATION,4,Night
C52,ROBBERY,7,Night
C52,SEX OFFENSE,1,Night
C52,THEFT,51,Night
C52,WEAPONS VIOLATION,17,Night
C53,ARSON,8,Night
C53,ASSAULT,88,Night
C53,BATTERY,325,Night
C53,BURGLARY,40,Night
C53,CRIM SEXUAL ASSAULT,12,Night
C53,CRIMINAL DAMAGE,228,Night
C53,CRIMINAL TRESPASS,19,Night
C53,DECEPTIVE PRACTICE,28,Night
C53,HOMICIDE,4,Night
C53,INTERFERENCE WITH PUBLIC OFFICER,9,Night
C53,INTIMIDATION,1,Night
C53,MOTOR VEHICLE THEFT,49,Night
C53,NARCOTICS,20,Night
C53,OBSCENITY,1,Night
C53,OFFENSE INVOLVING CHILDREN,11,Night
C53,OTHER OFFENSE,90,Night
C53,PROSTITUTION,1,Night
C53,PUBLIC PEACE VIOLATION,4,Night
C53,ROBBERY,62,Night
C53,SEX OFFENSE,8,Night
C53,STALKING,1,Night
C53,THEFT,109,Night
C53,WEAPONS VIOLATION,50,Night
C54,ASSAULT,27,Night
C54,BATTERY,108,Night
C54,BURGLARY,14,Night
C54,CRIM SEXUAL ASSAULT,1,Night
C54,CRIMINAL DAMAGE,53,Night
C54,CRIMINAL TRESPASS,5,Night
C54,DECEPTIVE PRACTICE,7,Night
C54,HOMICIDE,1,Night
C54,INTERFERENCE WITH PUBLIC OFFICER,4,Night
C54,MOTOR VEHICLE THEFT,27,Night
C54,NARCOTICS,6,Night
C54,OFFENSE INVOLVING CHILDREN,6,Night
C54,OTHER OFFENSE,31,Night
C54,PUBLIC PEACE VIOLATION,1,Night
C54,ROBBERY,22,Night
C54,SEX OFFENSE,2,Night
C54,STALKING,1,Night
C54,THEFT,45,Night
C54,WEAPONS VIOLATION,12,Night
C55,ASSAULT,17,Night
C55,BATTERY,54,Night
C55,BURGLARY,10,Night
C55,CRIM SEXUAL ASSAULT,2,Night
C55,CRIMINAL DAMAGE,42,Night
C55,CRIMINAL TRESPASS,8,Night
C55,DECEPTIVE PRACTICE,5,Night
C55,MOTOR VEHICLE THEFT,20,Night
C55,NARCOTICS,2,Night
C55,OFFENSE INVOLVING CHILDREN,3,Night
C55,OTHER OFFENSE,6,Night
C55,ROBBERY,2,Night
C55,SEX OFFENSE,1,Night
C55,THEFT,39,Night
C55,WEAPONS VIOLATION,3,Night
C56,ARSON,2,Night
C56,ASSAULT,24,Night
C56,BATTERY,86,Night
C56,BURGLARY,29,Night
C56,CONCEALED CARRY LICENSE VIOLATION,2,Night
C56,CRIM SEXUAL ASSAULT,3,Night
C56,CRIMINAL DAMAGE,111,Night
C56,CRIMINAL TRESPASS,9,Night
C56,DECEPTIVE PRACTICE,45,Night
C56,HOMICIDE,4,Night
C56,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C56,INTIMIDATION,1,Night
C56,KIDNAPPING,1,Night
C56,MOTOR VEHICLE THEFT,42,Night
C56,NARCOTICS,7,Night
C56,NON-CRIMINAL,1,Night
C56,OFFENSE INVOLVING CHILDREN,5,Night
C56,OTHER OFFENSE,32,Night
C56,PROSTITUTION,1,Night
C56,PUBLIC PEACE VIOLATION,3,Night
C56,ROBBERY,24,Night
C56,SEX OFFENSE,3,Night
C56,STALKING,3,Night
C56,THEFT,99,Night
C56,WEAPONS VIOLATION,9,Night
C57,ASSAULT,11,Night
C57,BATTERY,47,Night
C57,BURGLARY,21,Night
C57,CRIM SEXUAL ASSAULT,1,Night
C57,CRIMINAL DAMAGE,48,Night
C57,CRIMINAL TRESPASS,8,Night
C57,DECEPTIVE PRACTICE,7,Night
C57,HOMICIDE,2,Night
C57,INTERFERENCE WITH PUBLIC OFFICER,1,Night
C57,MOTOR VEHICLE THEFT,16,Night
C57,NARCOTICS,5,Night
C57,OBSCENITY,1,Night
C57,OFFENSE INVOLVING CHILDREN,4,Night
C57,OTHER OFFENSE,11,Night
C57,PUBLIC PEACE VIOLATION,1,Night
C57,ROBBERY,13,Night
C57,SEX OFFENSE,2,Night
C57,THEFT,44,Night
C57,WEAPONS VIOLATION,4,Night
C58,ARSON,9,Night
C58,ASSAULT,47,Night
C58,BATTERY,206,Night
C58,BURGLARY,42,Night
C58,CRIM SEXUAL ASSAULT,6,Night
C58,CRIMINAL DAMAGE,115,Night
C58,CRIMINAL TRESPASS,12,Night
C58,DECEPTIVE PRACTICE,17,Night
C58,HOMICIDE,8,Night
C58,INTERFERENCE WITH PUBLIC OFFICER,5,Night
C58,INTIMIDATION,1,Night
C58,KIDNAPPING,1,Night
C58,LIQUOR LAW VIOLATION,1,Night
C58,MOTOR VEHICLE THEFT,35,Night
C58,NARCOTICS,60,Night
C58,OBSCENITY,1,Night
C58,OFFENSE INVOLVING CHILDREN,9,Night
C58,OTHER OFFENSE,49,Night
C58,PROSTITUTION,12,Night
C58,PUBLIC PEACE VIOLATION,5,Night
C58,ROBBERY,48,Night
C58,SEX OFFENSE,5,Night
C58,STALKING,1,Night
C58,THEFT,70,Night
C58,WEAPONS VIOLATION,18,Night
C59,ARSON,2,Night
C59,ASSAULT,20,Night
C59,BATTERY,56,Night
C59,BURGLARY,19,Night
C59,CRIM SEXUAL ASSAULT,3,Night
C59,CRIMINAL DAMAGE,66,Night
C59,CRIMINAL TRESPASS,7,Night
C59,DECEPTIVE PRACTICE,12,Night
C59,MOTOR VEHICLE THEFT,15,Night
C59,NARCOTICS,49,Night
C59,OFFENSE INVOLVING CHILDREN,5,Night
C59,OTHER OFFENSE,18,Night
C59,PROSTITUTION,3,Night
C59,ROBBERY,15,Night
C59,THEFT,40,Night
C59,WEAPONS VIOLATION,7,Night
C6,ARSON,1,Night
C6,ASSAULT,60,Night
C6,BATTERY,400,Night
C6,BURGLARY,108,Night
C6,CRIM SEXUAL ASSAULT,32,Night
C6,CRIMINAL DAMAGE,154,Night
C6,CRIMINAL TRESPASS,59,Night
C6,DECEPTIVE PRACTICE,165,Night
C6,INTERFERENCE WITH PUBLIC OFFICER,2,Night
