Community,Location,Frequency,Period
C34,NURSING HOME/RETIREMENT HOME,1,Night
C34,CONSTRUCTION SITE,1,Night
C34,FIRE STATION,1,Night
C34,DRIVEWAY - RESIDENTIAL,1,Night
C34,VEHICLE - OTHER RIDE SERVICE,1,Night
C35,STREET,140,Night
C35,APARTMENT,120,Night
C35,RESIDENCE,68,Night
C35,SIDEWALK,35,Night
C35,PARKING LOT/GARAGE(NON.RESID.),34,Night
C35,OTHER,25,Night
C35,CHA PARKING LOT/GROUNDS,18,Night
C35,CHA HALLWAY/STAIRWELL/ELEVATOR,17,Night
C35,GAS STATION,15,Night
C35,CHA APARTMENT,14,Night
C35,RESTAURANT,14,Night
C35,GROCERY FOOD STORE,10,Night
C35,VEHICLE NON-COMMERCIAL,10,Night
C35,RESIDENTIAL YARD (FRONT/BACK),7,Night
C35,CONVENIENCE STORE,6,Night
C35,DRUG STORE,6,Night
C35,HOTEL/MOTEL,5,Night
C35,PARK PROPERTY,5,Night
C35,RESIDENCE-GARAGE,4,Night
C35,COLLEGE/UNIVERSITY GROUNDS,4,Night
C35,SMALL RETAIL STORE,4,Night
C35,RESIDENCE PORCH/HALLWAY,3,Night
C35,NURSING HOME/RETIREMENT HOME,3,Night
C35,TAXICAB,3,Night
C35,CTA TRAIN,2,Night
C35,"SCHOOL, PUBLIC, GROUNDS",2,Night
C35,ALLEY,2,Night
C35,BANK,2,Night
C35,CTA BUS,2,Night
C35,POLICE FACILITY/VEH PARKING LOT,2,Night
C35,VACANT LOT/LAND,2,Night
C35,"SCHOOL, PRIVATE, GROUNDS",2,Night
C35,"SCHOOL, PUBLIC, BUILDING",2,Night
C35,CTA GARAGE / OTHER PROPERTY,1,Night
C35,BAR OR TAVERN,1,Night
C35,CTA STATION,1,Night
C35,ATM (AUTOMATIC TELLER MACHINE),1,Night
C35,CTA PLATFORM,1,Night
C35,DEPARTMENT STORE,1,Night
C35,DRIVEWAY - RESIDENTIAL,1,Night
C35,CHA PARKING LOT,1,Night
C35,TAVERN/LIQUOR STORE,1,Night
C35,BOAT/WATERCRAFT,1,Night
C35,COMMERCIAL / BUSINESS OFFICE,1,Night
C35,LAKEFRONT/WATERFRONT/RIVERBANK,1,Night
C35,CTA BUS STOP,1,Night
C36,APARTMENT,62,Night
C36,STREET,57,Night
C36,RESIDENCE,32,Night
C36,VEHICLE NON-COMMERCIAL,7,Night
C36,RESIDENCE-GARAGE,6,Night
C36,CHA APARTMENT,5,Night
C36,OTHER,5,Night
C36,PARKING LOT/GARAGE(NON.RESID.),5,Night
C36,PARK PROPERTY,4,Night
C36,RESIDENTIAL YARD (FRONT/BACK),4,Night
C36,SIDEWALK,4,Night
C36,ALLEY,4,Night
C36,RESIDENCE PORCH/HALLWAY,3,Night
C36,CHA PARKING LOT/GROUNDS,2,Night
C36,CTA BUS,1,Night
C36,TAXICAB,1,Night
C36,GOVERNMENT BUILDING/PROPERTY,1,Night
C36,AIRCRAFT,1,Night
C36,DRIVEWAY - RESIDENTIAL,1,Night
C37,STREET,65,Night
C37,RESIDENCE,29,Night
C37,APARTMENT,24,Night
C37,GAS STATION,22,Night
C37,PARKING LOT/GARAGE(NON.RESID.),17,Night
C37,POLICE FACILITY/VEH PARKING LOT,15,Night
C37,SIDEWALK,14,Night
C37,CTA TRAIN,10,Night
C37,CTA PLATFORM,6,Night
C37,RESTAURANT,4,Night
C37,CURRENCY EXCHANGE,4,Night
C37,CTA STATION,4,Night
C37,VEHICLE NON-COMMERCIAL,4,Night
C37,ALLEY,3,Night
C37,OTHER,3,Night
C37,GOVERNMENT BUILDING/PROPERTY,2,Night
C37,ATM (AUTOMATIC TELLER MACHINE),2,Night
C37,JAIL / LOCK-UP FACILITY,1,Night
C37,RESIDENCE PORCH/HALLWAY,1,Night
C37,CTA TRACKS - RIGHT OF WAY,1,Night
C37,CHA HALLWAY/STAIRWELL/ELEVATOR,1,Night
C37,HIGHWAY/EXPRESSWAY,1,Night
C37,CONVENIENCE STORE,1,Night
C37,CONSTRUCTION SITE,1,Night
C37,CTA BUS STOP,1,Night
C37,OTHER RAILROAD PROP / TRAIN DEPOT,1,Night
C37,VEHICLE - DELIVERY TRUCK,1,Night
C37,RESIDENTIAL YARD (FRONT/BACK),1,Night
C37,CTA BUS,1,Night
C37,TAXICAB,1,Night
C38,STREET,279,Night
C38,APARTMENT,205,Night
C38,RESIDENCE,109,Night
C38,SIDEWALK,62,Night
C38,OTHER,31,Night
C38,VEHICLE NON-COMMERCIAL,27,Night
C38,HOTEL/MOTEL,22,Night
C38,RESIDENTIAL YARD (FRONT/BACK),21,Night
C38,GAS STATION,17,Night
C38,RESIDENCE PORCH/HALLWAY,17,Night
C38,RESIDENCE-GARAGE,17,Night
C38,RESTAURANT,14,Night
C38,PARKING LOT/GARAGE(NON.RESID.),13,Night
C38,ALLEY,12,Night
C38,CHA APARTMENT,8,Night
C38,CHA PARKING LOT/GROUNDS,8,Night
C38,BAR OR TAVERN,7,Night
C38,TAVERN/LIQUOR STORE,5,Night
C38,"SCHOOL, PUBLIC, GROUNDS",3,Night
C38,SMALL RETAIL STORE,3,Night
C38,DRIVEWAY - RESIDENTIAL,3,Night
C38,PARK PROPERTY,3,Night
C38,NURSING HOME/RETIREMENT HOME,3,Night
C38,CHA HALLWAY/STAIRWELL/ELEVATOR,3,Night
C38,"SCHOOL, PUBLIC, BUILDING",3,Night
C38,CTA TRAIN,3,Night
C38,CONVENIENCE STORE,3,Night
C38,GROCERY FOOD STORE,2,Night
C38,HOSPITAL BUILDING/GROUNDS,2,Night
C38,CTA BUS STOP,1,Night
C38,GOVERNMENT BUILDING/PROPERTY,1,Night
C38,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,Night
C38,CTA GARAGE / OTHER PROPERTY,1,Night
C38,CTA STATION,1,Night
C38,CTA PLATFORM,1,Night
C38,ATM (AUTOMATIC TELLER MACHINE),1,Night
C38,AUTO,1,Night
C38,DEPARTMENT STORE,1,Night
C38,COMMERCIAL / BUSINESS OFFICE,1,Night
C38,CTA BUS,1,Night
C38,DAY CARE CENTER,1,Night
C38,TAXICAB,1,Night
C39,STREET,132,Night
C39,APARTMENT,93,Night
C39,RESIDENCE,71,Night
C39,SIDEWALK,20,Night
C39,ALLEY,15,Night
C39,VEHICLE NON-COMMERCIAL,14,Night
C39,OTHER,11,Night
C39,RESIDENCE PORCH/HALLWAY,8,Night
C39,PARKING LOT/GARAGE(NON.RESID.),8,Night
C39,GAS STATION,8,Night
C39,RESIDENTIAL YARD (FRONT/BACK),5,Night
C39,RESIDENCE-GARAGE,4,Night
C39,PARK PROPERTY,3,Night
C39,RESTAURANT,3,Night
C39,DRIVEWAY - RESIDENTIAL,2,Night
C39,NURSING HOME/RETIREMENT HOME,2,Night
C39,CHA APARTMENT,1,Night
C39,VEHICLE - OTHER RIDE SERVICE,1,Night
C39,VACANT LOT/LAND,1,Night
C39,CHA HALLWAY/STAIRWELL/ELEVATOR,1,Night
C39,"SCHOOL, PUBLIC, BUILDING",1,Night
C39,CHA PARKING LOT/GROUNDS,1,Night
C39,GROCERY FOOD STORE,1,Night
C39,HOTEL/MOTEL,1,Night
C39,ATM (AUTOMATIC TELLER MACHINE),1,Night
C39,AUTO,1,Night
C4,STREET,161,Night
C4,APARTMENT,65,Night
C4,RESIDENCE,53,Night
C4,SIDEWALK,38,Night
C4,OTHER,31,Night
C4,RESIDENCE-GARAGE,21,Night
C4,ALLEY,18,Night
C4,PARKING LOT/GARAGE(NON.RESID.),16,Night
C4,HOTEL/MOTEL,14,Night
C4,BAR OR TAVERN,13,Night
C4,HOSPITAL BUILDING/GROUNDS,12,Night
C4,PARK PROPERTY,11,Night
C4,RESIDENTIAL YARD (FRONT/BACK),11,Night
C4,RESTAURANT,10,Night
C4,RESIDENCE PORCH/HALLWAY,9,Night
C4,CONVENIENCE STORE,6,Night
C4,SMALL RETAIL STORE,6,Night
C4,TAVERN/LIQUOR STORE,5,Night
C4,TAXICAB,5,Night
C4,VEHICLE NON-COMMERCIAL,5,Night
C4,NURSING HOME/RETIREMENT HOME,4,Night
C4,CTA STATION,3,Night
C4,GAS STATION,3,Night
C4,ATM (AUTOMATIC TELLER MACHINE),3,Night
C4,COMMERCIAL / BUSINESS OFFICE,2,Night
C4,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,Night
C4,POLICE FACILITY/VEH PARKING LOT,2,Night
C4,DRIVEWAY - RESIDENTIAL,2,Night
C4,VEHICLE - OTHER RIDE SERVICE,2,Night
C4,CTA BUS,1,Night
C4,DRUG STORE,1,Night
C4,DAY CARE CENTER,1,Night
C4,"SCHOOL, PUBLIC, BUILDING",1,Night
C4,VACANT LOT/LAND,1,Night
C4,CLEANING STORE,1,Night
C4,MOVIE HOUSE/THEATER,1,Night
C4,GOVERNMENT BUILDING/PROPERTY,1,Night
C4,CTA GARAGE / OTHER PROPERTY,1,Night
C4,CTA PLATFORM,1,Night
C4,CAR WASH,1,Night
C4,BARBERSHOP,1,Night
C4,MEDICAL/DENTAL OFFICE,1,Night
C4,BANK,1,Night
C4,WAREHOUSE,1,Night
C40,APARTMENT,243,Night
C40,STREET,182,Night
C40,RESIDENCE,89,Night
C40,SIDEWALK,68,Night
C40,ALLEY,30,Night
C40,OTHER,26,Night
C40,RESIDENTIAL YARD (FRONT/BACK),23,Night
C40,RESIDENCE PORCH/HALLWAY,19,Night
C40,VEHICLE NON-COMMERCIAL,18,Night
C40,GAS STATION,17,Night
C40,PARKING LOT/GARAGE(NON.RESID.),12,Night
C40,PARK PROPERTY,7,Night
C40,CONVENIENCE STORE,4,Night
C40,VACANT LOT/LAND,4,Night
C40,RESTAURANT,4,Night
C40,TAXICAB,4,Night
C40,BAR OR TAVERN,3,Night
C40,CTA PLATFORM,3,Night
C40,TAVERN/LIQUOR STORE,3,Night
C40,CTA TRAIN,2,Night
C40,RESIDENCE-GARAGE,2,Night
C40,GROCERY FOOD STORE,2,Night
C40,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,Night
C40,CTA BUS,2,Night
C40,CHA APARTMENT,2,Night
C40,POOL ROOM,1,Night
C40,CONSTRUCTION SITE,1,Night
C40,CTA BUS STOP,1,Night
C40,CHA PARKING LOT/GROUNDS,1,Night
C40,CTA GARAGE / OTHER PROPERTY,1,Night
C40,CTA STATION,1,Night
C40,"SCHOOL, PUBLIC, GROUNDS",1,Night
C40,DRIVEWAY - RESIDENTIAL,1,Night
C40,ABANDONED BUILDING,1,Night
C40,AUTO,1,Night
C40,COMMERCIAL / BUSINESS OFFICE,1,Night
C40,"SCHOOL, PUBLIC, BUILDING",1,Night
C41,STREET,103,Night
C41,APARTMENT,80,Night
C41,RESIDENCE,49,Night
C41,SIDEWALK,36,Night
C41,OTHER,20,Night
C41,RESTAURANT,15,Night
C41,HOSPITAL BUILDING/GROUNDS,14,Night
C41,VEHICLE NON-COMMERCIAL,14,Night
C41,RESIDENCE PORCH/HALLWAY,11,Night
C41,RESIDENTIAL YARD (FRONT/BACK),10,Night
C41,PARKING LOT/GARAGE(NON.RESID.),10,Night
C41,PARK PROPERTY,8,Night
C41,ALLEY,7,Night
C41,SMALL RETAIL STORE,6,Night
C41,DRUG STORE,4,Night
C41,RESIDENCE-GARAGE,4,Night
C41,BAR OR TAVERN,4,Night
C41,CONVENIENCE STORE,4,Night
C41,DEPARTMENT STORE,2,Night
C41,GAS STATION,2,Night
C41,VEHICLE - OTHER RIDE SERVICE,2,Night
C41,LAKEFRONT/WATERFRONT/RIVERBANK,2,Night
C41,GROCERY FOOD STORE,1,Night
C41,BANK,1,Night
C41,DRIVEWAY - RESIDENTIAL,1,Night
C41,ATHLETIC CLUB,1,Night
C41,COLLEGE/UNIVERSITY RESIDENCE HALL,1,Night
C41,COLLEGE/UNIVERSITY GROUNDS,1,Night
C41,COMMERCIAL / BUSINESS OFFICE,1,Night
C41,CTA BUS,1,Night
C41,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",1,Night
C41,NURSING HOME/RETIREMENT HOME,1,Night
C41,TAXICAB,1,Night
C42,APARTMENT,330,Night
C42,STREET,299,Night
C42,RESIDENCE,167,Night
C42,SIDEWALK,84,Night
C42,ALLEY,33,Night
C42,OTHER,24,Night
C42,RESIDENTIAL YARD (FRONT/BACK),23,Night
C42,VEHICLE NON-COMMERCIAL,23,Night
C42,POLICE FACILITY/VEH PARKING LOT,20,Night
C42,GAS STATION,19,Night
C42,RESIDENCE PORCH/HALLWAY,18,Night
C42,PARKING LOT/GARAGE(NON.RESID.),17,Night
C42,RESIDENCE-GARAGE,14,Night
C42,PARK PROPERTY,10,Night
C42,SMALL RETAIL STORE,10,Night
C42,VACANT LOT/LAND,6,Night
C42,CTA BUS,5,Night
C42,NURSING HOME/RETIREMENT HOME,5,Night
C42,COMMERCIAL / BUSINESS OFFICE,4,Night
C42,RESTAURANT,4,Night
C42,HOTEL/MOTEL,4,Night
C42,"SCHOOL, PUBLIC, BUILDING",3,Night
C42,CTA BUS STOP,3,Night
C42,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3,Night
C42,TAXICAB,2,Night
C42,CHA PARKING LOT/GROUNDS,2,Night
C42,CTA TRAIN,2,Night
C42,CONVENIENCE STORE,2,Night
C42,"SCHOOL, PUBLIC, GROUNDS",2,Night
C42,ABANDONED BUILDING,2,Night
C42,VEHICLE-COMMERCIAL,1,Night
C42,TAVERN/LIQUOR STORE,1,Night
C42,JAIL / LOCK-UP FACILITY,1,Night
C42,GOVERNMENT BUILDING/PROPERTY,1,Night
C42,LAKEFRONT/WATERFRONT/RIVERBANK,1,Night
C42,APPLIANCE STORE,1,Night
C42,BAR OR TAVERN,1,Night
C42,COIN OPERATED MACHINE,1,Night
C42,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,1,Night
C42,GROCERY FOOD STORE,1,Night
C42,CTA PLATFORM,1,Night
C42,DRIVEWAY - RESIDENTIAL,1,Night
C42,PARKING LOT,1,Night
C42,ATM (AUTOMATIC TELLER MACHINE),1,Night
C42,BOAT/WATERCRAFT,1,Night
C42,BANK,1,Night
C43,APARTMENT,849,Night
C43,STREET,631,Night
C43,RESIDENCE,459,Night
C43,SIDEWALK,190,Night
C43,RESIDENTIAL YARD (FRONT/BACK),54,Night
C43,VEHICLE NON-COMMERCIAL,48,Night
C43,OTHER,43,Night
C43,ALLEY,42,Night
C43,RESIDENCE PORCH/HALLWAY,41,Night
C43,GAS STATION,39,Night
C43,PARKING LOT/GARAGE(NON.RESID.),36,Night
C43,GROCERY FOOD STORE,24,Night
C43,CONVENIENCE STORE,21,Night
C43,RESTAURANT,20,Night
C43,RESIDENCE-GARAGE,14,Night
C43,SMALL RETAIL STORE,13,Night
C43,HOSPITAL BUILDING/GROUNDS,12,Night
C43,DRIVEWAY - RESIDENTIAL,11,Night
C43,BAR OR TAVERN,10,Night
C43,NURSING HOME/RETIREMENT HOME,10,Night
C43,DRUG STORE,7,Night
C43,PARK PROPERTY,7,Night
C43,TAXICAB,6,Night
C43,CURRENCY EXCHANGE,5,Night
C43,TAVERN/LIQUOR STORE,5,Night
C43,COMMERCIAL / BUSINESS OFFICE,5,Night
C43,CTA BUS,5,Night
C43,CTA BUS STOP,4,Night
C43,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,4,Night
C43,ATM (AUTOMATIC TELLER MACHINE),4,Night
C43,CONSTRUCTION SITE,3,Night
C43,BANK,3,Night
C43,DEPARTMENT STORE,3,Night
C43,CHA APARTMENT,2,Night
C43,DAY CARE CENTER,2,Night
C43,VEHICLE-COMMERCIAL,2,Night
C43,"SCHOOL, PUBLIC, BUILDING",1,Night
C43,LAKEFRONT/WATERFRONT/RIVERBANK,1,Night
C43,CHA PARKING LOT/GROUNDS,1,Night
C43,APPLIANCE STORE,1,Night
C43,BARBERSHOP,1,Night
C43,FIRE STATION,1,Night
C43,SPORTS ARENA/STADIUM,1,Night
C43,AUTO,1,Night
C43,ABANDONED BUILDING,1,Night
C43,VEHICLE - OTHER RIDE SERVICE,1,Night
C43,WAREHOUSE,1,Night
C43,VACANT LOT/LAND,1,Night
C43,OTHER COMMERCIAL TRANSPORTATION,1,Night
C44,STREET,432,Night
C44,APARTMENT,420,Night
C44,RESIDENCE,314,Night
C44,SIDEWALK,90,Night
C44,PARKING LOT/GARAGE(NON.RESID.),60,Night
C44,GAS STATION,58,Night
C44,RESTAURANT,38,Night
C44,OTHER,36,Night
C44,VEHICLE NON-COMMERCIAL,34,Night
C44,ALLEY,33,Night
C44,DEPARTMENT STORE,32,Night
C44,SMALL RETAIL STORE,30,Night
C44,RESIDENCE-GARAGE,22,Night
C44,RESIDENTIAL YARD (FRONT/BACK),20,Night
C44,GROCERY FOOD STORE,16,Night
C44,RESIDENCE PORCH/HALLWAY,15,Night
C44,CTA STATION,15,Night
C44,CTA PLATFORM,14,Night
C44,CTA TRAIN,14,Night
C44,CONVENIENCE STORE,11,Night
C44,HOTEL/MOTEL,10,Night
C44,COMMERCIAL / BUSINESS OFFICE,9,Night
C44,CTA BUS STOP,8,Night
C44,CTA BUS,7,Night
C44,BANK,6,Night
C44,TAVERN/LIQUOR STORE,6,Night
C44,PARK PROPERTY,6,Night
C44,DRUG STORE,6,Night
C44,DRIVEWAY - RESIDENTIAL,5,Night
C44,CURRENCY EXCHANGE,5,Night
C44,ATM (AUTOMATIC TELLER MACHINE),4,Night
C44,VEHICLE - OTHER RIDE SERVICE,4,Night
C44,VACANT LOT/LAND,4,Night
C44,BARBERSHOP,3,Night
C44,NURSING HOME/RETIREMENT HOME,2,Night
C44,MOVIE HOUSE/THEATER,2,Night
C44,CLEANING STORE,2,Night
C44,APPLIANCE STORE,2,Night
C44,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,Night
C44,HOSPITAL BUILDING/GROUNDS,1,Night
C44,AUTO,1,Night
C44,WAREHOUSE,1,Night
C44,ATHLETIC CLUB,1,Night
C44,SPORTS ARENA/STADIUM,1,Night
C44,ABANDONED BUILDING,1,Night
C44,VEHICLE-COMMERCIAL,1,Night
C44,CREDIT UNION,1,Night
C44,CTA TRACKS - RIGHT OF WAY,1,Night
C44,TAXICAB,1,Night
C44,"SCHOOL, PUBLIC, BUILDING",1,Night
C44,CHA PARKING LOT/GROUNDS,1,Night
C44,BAR OR TAVERN,1,Night
C44,CTA GARAGE / OTHER PROPERTY,1,Night
C45,STREET,108,Night
C45,RESIDENCE,103,Night
C45,APARTMENT,24,Night
C45,SIDEWALK,19,Night
C45,VEHICLE NON-COMMERCIAL,16,Night
C45,GAS STATION,14,Night
C45,HOTEL/MOTEL,10,Night
C45,PARKING LOT/GARAGE(NON.RESID.),8,Night
C45,OTHER,5,Night
C45,RESIDENTIAL YARD (FRONT/BACK),5,Night
C45,RESIDENCE-GARAGE,5,Night
C45,SMALL RETAIL STORE,3,Night
C45,ALLEY,3,Night
C45,CTA BUS,3,Night
C45,PARK PROPERTY,2,Night
C45,GROCERY FOOD STORE,2,Night
C45,ATM (AUTOMATIC TELLER MACHINE),2,Night
C45,VACANT LOT/LAND,1,Night
C45,POOL ROOM,1,Night
C45,AIRPORT VENDING ESTABLISHMENT,1,Night
C45,CTA BUS STOP,1,Night
C45,CONVENIENCE STORE,1,Night
C45,CTA STATION,1,Night
C45,OTHER RAILROAD PROP / TRAIN DEPOT,1,Night
C45,DRIVEWAY - RESIDENTIAL,1,Night
C45,DEPARTMENT STORE,1,Night
C46,RESIDENCE,367,Night
C46,STREET,360,Night
C46,APARTMENT,275,Night
C46,SIDEWALK,97,Night
C46,RESIDENTIAL YARD (FRONT/BACK),31,Night
C46,OTHER,28,Night
C46,VEHICLE NON-COMMERCIAL,28,Night
C46,PARKING LOT/GARAGE(NON.RESID.),23,Night
C46,RESTAURANT,19,Night
C46,ALLEY,18,Night
C46,RESIDENCE PORCH/HALLWAY,17,Night
C46,RESIDENCE-GARAGE,15,Night
C46,CHA PARKING LOT/GROUNDS,11,Night
C46,DRIVEWAY - RESIDENTIAL,9,Night
C46,CONVENIENCE STORE,8,Night
C46,HOSPITAL BUILDING/GROUNDS,8,Night
C46,SMALL RETAIL STORE,8,Night
C46,GAS STATION,7,Night
C46,CTA BUS,6,Night
C46,VACANT LOT/LAND,5,Night
C46,BANK,4,Night
C46,ATM (AUTOMATIC TELLER MACHINE),3,Night
C46,PARK PROPERTY,3,Night
C46,CHA APARTMENT,3,Night
C46,COMMERCIAL / BUSINESS OFFICE,3,Night
C46,CHA HALLWAY/STAIRWELL/ELEVATOR,3,Night
C46,BAR OR TAVERN,2,Night
C46,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,Night
C46,ANIMAL HOSPITAL,2,Night
C46,ABANDONED BUILDING,2,Night
C46,DRUG STORE,2,Night
C46,TAXICAB,2,Night
C46,CTA BUS STOP,1,Night
C46,APPLIANCE STORE,1,Night
C46,"SCHOOL, PUBLIC, GROUNDS",1,Night
C46,GROCERY FOOD STORE,1,Night
C46,HOUSE,1,Night
C46,DEPARTMENT STORE,1,Night
C46,TAVERN/LIQUOR STORE,1,Night
C46,SPORTS ARENA/STADIUM,1,Night
C46,DAY CARE CENTER,1,Night
C46,VEHICLE - OTHER RIDE SERVICE,1,Night
C46,NURSING HOME/RETIREMENT HOME,1,Night
C46,GARAGE,1,Night
C47,RESIDENCE,40,Night
C47,STREET,28,Night
C47,SIDEWALK,19,Night
C47,PARKING LOT/GARAGE(NON.RESID.),6,Night
C47,OTHER,5,Night
C47,APARTMENT,4,Night
C47,GAS STATION,2,Night
C47,PARK PROPERTY,2,Night
C47,RESIDENCE-GARAGE,2,Night
C47,ALLEY,1,Night
C47,VEHICLE NON-COMMERCIAL,1,Night
C47,WAREHOUSE,1,Night
C47,RESIDENTIAL YARD (FRONT/BACK),1,Night
C47,RESIDENCE PORCH/HALLWAY,1,Night
C48,STREET,165,Night
C48,RESIDENCE,114,Night
C48,APARTMENT,21,Night
C48,SIDEWALK,17,Night
C48,RESIDENTIAL YARD (FRONT/BACK),16,Night
C48,HOTEL/MOTEL,15,Night
C48,VEHICLE NON-COMMERCIAL,14,Night
C48,PARKING LOT/GARAGE(NON.RESID.),11,Night
C48,OTHER,8,Night
C48,RESIDENCE-GARAGE,7,Night
C48,GAS STATION,7,Night
C48,BAR OR TAVERN,6,Night
C48,RESIDENCE PORCH/HALLWAY,5,Night
C48,ALLEY,5,Night
C48,RESTAURANT,3,Night
C48,CONVENIENCE STORE,3,Night
C48,HOSPITAL BUILDING/GROUNDS,3,Night
C48,SMALL RETAIL STORE,3,Night
C48,DRIVEWAY - RESIDENTIAL,3,Night
C48,TAVERN/LIQUOR STORE,3,Night
C48,DRUG STORE,2,Night
C48,DEPARTMENT STORE,2,Night
C48,CTA BUS,1,Night
C48,PARK PROPERTY,1,Night
C48,YARD,1,Night
C48,VEHICLE-COMMERCIAL,1,Night
C48,TAXICAB,1,Night
C48,CTA BUS STOP,1,Night
C48,"SCHOOL, PRIVATE, BUILDING",1,Night
C48,GROCERY FOOD STORE,1,Night
C48,CAR WASH,1,Night
C48,ATM (AUTOMATIC TELLER MACHINE),1,Night
C49,RESIDENCE,616,Night
C49,STREET,549,Night
C49,APARTMENT,159,Night
C49,SIDEWALK,126,Night
C49,GAS STATION,65,Night
C49,RESIDENTIAL YARD (FRONT/BACK),56,Night
C49,CTA TRAIN,43,Night
C49,RESIDENCE PORCH/HALLWAY,38,Night
C49,RESIDENCE-GARAGE,37,Night
C49,ALLEY,35,Night
C49,OTHER,32,Night
C49,VEHICLE NON-COMMERCIAL,30,Night
C49,PARKING LOT/GARAGE(NON.RESID.),23,Night
C49,RESTAURANT,23,Night
C49,HOSPITAL BUILDING/GROUNDS,18,Night
C49,CTA STATION,14,Night
C49,DRIVEWAY - RESIDENTIAL,12,Night
C49,CTA PLATFORM,11,Night
C49,SMALL RETAIL STORE,11,Night
C49,CTA GARAGE / OTHER PROPERTY,9,Night
C49,CTA BUS STOP,7,Night
C49,CHA PARKING LOT/GROUNDS,6,Night
C49,CONVENIENCE STORE,6,Night
C49,CHA APARTMENT,6,Night
C49,"SCHOOL, PUBLIC, GROUNDS",5,Night
C49,DEPARTMENT STORE,5,Night
C49,TAVERN/LIQUOR STORE,5,Night
C49,CTA BUS,5,Night
C49,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,4,Night
C49,HOTEL/MOTEL,4,Night
C49,BANK,4,Night
C49,VEHICLE-COMMERCIAL,4,Night
C49,GROCERY FOOD STORE,3,Night
C49,ABANDONED BUILDING,3,Night
C49,PARK PROPERTY,3,Night
C49,COMMERCIAL / BUSINESS OFFICE,3,Night
C49,DRUG STORE,3,Night
C49,CONSTRUCTION SITE,2,Night
C49,BARBERSHOP,2,Night
C49,NURSING HOME/RETIREMENT HOME,2,Night
C49,VACANT LOT/LAND,2,Night
C49,BAR OR TAVERN,1,Night
C49,POOL ROOM,1,Night
C49,ATM (AUTOMATIC TELLER MACHINE),1,Night
C49,HOUSE,1,Night
C49,MEDICAL/DENTAL OFFICE,1,Night
C49,AUTO,1,Night
C49,VEHICLE - OTHER RIDE SERVICE,1,Night
C49,DAY CARE CENTER,1,Night
C49,YARD,1,Night
C49,PORCH,1,Night
C49,CLEANING STORE,1,Night
C49,TAXICAB,1,Night
C5,STREET,96,Night
C5,RESIDENCE,59,Night
C5,RESIDENCE-GARAGE,27,Night
C5,SIDEWALK,20,Night
C5,APARTMENT,19,Night
C5,BAR OR TAVERN,13,Night
C5,OTHER,13,Night
C5,RESIDENCE PORCH/HALLWAY,13,Night
C5,VEHICLE NON-COMMERCIAL,11,Night
C5,PARKING LOT/GARAGE(NON.RESID.),11,Night
C5,GROCERY FOOD STORE,9,Night
C5,ALLEY,9,Night
C5,RESTAURANT,9,Night
C5,SMALL RETAIL STORE,7,Night
C5,BOWLING ALLEY,6,Night
C5,POLICE FACILITY/VEH PARKING LOT,5,Night
C5,PARK PROPERTY,5,Night
C5,CONVENIENCE STORE,4,Night
C5,RESIDENTIAL YARD (FRONT/BACK),4,Night
C5,TAXICAB,4,Night
C5,GAS STATION,3,Night
C5,ATM (AUTOMATIC TELLER MACHINE),3,Night
C5,COMMERCIAL / BUSINESS OFFICE,3,Night
C5,DRUG STORE,3,Night
C5,"SCHOOL, PUBLIC, BUILDING",2,Night
C5,VEHICLE - OTHER RIDE SERVICE,2,Night
C5,CTA TRAIN,1,Night
C5,CAR WASH,1,Night
C5,"SCHOOL, PUBLIC, GROUNDS",1,Night
C5,ATHLETIC CLUB,1,Night
C5,SPORTS ARENA/STADIUM,1,Night
C5,VACANT LOT/LAND,1,Night
C5,VEHICLE-COMMERCIAL,1,Night
C50,STREET,68,Night
C50,RESIDENCE,64,Night
C50,APARTMENT,15,Night
C50,POLICE FACILITY/VEH PARKING LOT,11,Night
C50,DEPARTMENT STORE,10,Night
C50,GAS STATION,9,Night
C50,SIDEWALK,8,Night
C50,RESIDENCE-GARAGE,8,Night
C50,RESIDENTIAL YARD (FRONT/BACK),7,Night
C50,PARKING LOT/GARAGE(NON.RESID.),7,Night
C50,OTHER,6,Night
C50,VEHICLE NON-COMMERCIAL,5,Night
C50,ALLEY,5,Night
C50,RESIDENCE PORCH/HALLWAY,3,Night
C50,GROCERY FOOD STORE,3,Night
C50,SMALL RETAIL STORE,2,Night
C50,JAIL / LOCK-UP FACILITY,2,Night
C50,DRIVEWAY - RESIDENTIAL,1,Night
C50,CTA BUS,1,Night
C50,SPORTS ARENA/STADIUM,1,Night
C50,COLLEGE/UNIVERSITY GROUNDS,1,Night
C50,PARK PROPERTY,1,Night
C50,VEHICLE-COMMERCIAL,1,Night
C50,RESTAURANT,1,Night
C50,FACTORY/MANUFACTURING BUILDING,1,Night
